,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-05-18,2.3927372150516524,2.394750739425454,2.4442572804808873,2.3927372150516524,2.3927372150516524,0.024750639239872925,0.024750639239872925,0.024750639239872925,2.0567762011560623e-05,2.0567762011560623e-05,2.0567762011560623e-05,0.024730071477861364,0.024730071477861364,0.024730071477861364,0.0,0.0,0.0,2.4174878542915255
1,2016-05-24,2.391957582346351,2.398807934055223,2.4486218302461293,2.391957582346351,2.391957582346351,0.030734832215966738,0.030734832215966738,0.030734832215966738,0.0018582141341940885,0.0018582141341940885,0.0018582141341940885,0.028876618081772647,0.028876618081772647,0.028876618081772647,0.0,0.0,0.0,2.4226924145623174
2,2016-07-11,2.3918569845779247,2.404601220468209,2.453521427136736,2.3918569845779247,2.3918569845779247,0.037685160446334166,0.037685160446334166,0.037685160446334166,2.0567761999880463e-05,2.0567761999880463e-05,2.0567761999880463e-05,0.03766459268433429,0.03766459268433429,0.03766459268433429,0.0,0.0,0.0,2.429542145024259
3,2017-02-24,2.3913791451779014,2.3459601913919736,2.397158690939481,2.3913791451779014,2.3913791451779014,-0.01957506295531437,-0.01957506295531437,-0.01957506295531437,0.008341193326289015,0.008341193326289015,0.008341193326289015,-0.02791625628160339,-0.02791625628160339,-0.02791625628160339,0.0,0.0,0.0,2.371804082222587
4,2017-03-08,2.3913539957357948,2.35262478410637,2.4018051768289577,2.3913539957357948,2.3913539957357948,-0.015142990394900153,-0.015142990394900153,-0.015142990394900153,-0.002977184742862817,-0.002977184742862817,-0.002977184742862817,-0.012165805652037337,-0.012165805652037337,-0.012165805652037337,0.0,0.0,0.0,2.3762110053408945
5,2017-03-20,2.3913288462936886,2.3546843449948454,2.407306426185296,2.3913288462936886,2.3913288462936886,-0.009159877395149238,-0.009159877395149238,-0.009159877395149238,2.0567762016318485e-05,2.0567762016318485e-05,2.0567762016318485e-05,-0.009180445157165557,-0.009180445157165557,-0.009180445157165557,0.0,0.0,0.0,2.3821689688985392
6,2017-04-01,2.391303696851582,2.3517422659175247,2.4017159745161583,2.391303696851582,2.391303696851582,-0.014851944500078587,-0.014851944500078587,-0.014851944500078587,-0.0008931750872124837,-0.0008931750872124837,-0.0008931750872124837,-0.013958769412866102,-0.013958769412866102,-0.013958769412866102,0.0,0.0,0.0,2.376451752351503
7,2017-04-13,2.391434849971883,2.3620243193897585,2.4141116502709723,2.391434849971883,2.391434849971883,-0.003993574865658764,-0.003993574865658764,-0.003993574865658764,-0.007423417490226624,-0.007423417490226624,-0.007423417490226624,0.00342984262456786,0.00342984262456786,0.00342984262456786,0.0,0.0,0.0,2.3874412751062244
8,2017-04-25,2.391566003092183,2.386558895582634,2.4370819652213846,2.391566003092183,2.391566003092183,0.01870883460375905,0.01870883460375905,0.01870883460375905,0.001858214134191898,0.001858214134191898,0.001858214134191898,0.016850620469567153,0.016850620469567153,0.016850620469567153,0.0,0.0,0.0,2.410274837695942
9,2017-05-07,2.391697156212484,2.385351648784408,2.434201744699442,2.391697156212484,2.391697156212484,0.017947824832321584,0.017947824832321584,0.017947824832321584,0.00107380209783816,0.00107380209783816,0.00107380209783816,0.016874022734483424,0.016874022734483424,0.016874022734483424,0.0,0.0,0.0,2.4096449810448055
10,2017-05-19,2.3918283093327846,2.402229305657385,2.450783551033136,2.3918283093327846,2.3918283093327846,0.03440973846842995,0.03440973846842995,0.03440973846842995,0.008341193326287194,0.008341193326287194,0.008341193326287194,0.02606854514214275,0.02606854514214275,0.02606854514214275,0.0,0.0,0.0,2.4262380478012147
11,2017-05-31,2.391959462453085,2.3897973557957344,2.4394658347094973,2.391959462453085,2.391959462453085,0.022869524398663438,0.022869524398663438,0.022869524398663438,-0.002977184742862339,-0.002977184742862339,-0.002977184742862339,0.02584670914152578,0.02584670914152578,0.02584670914152578,0.0,0.0,0.0,2.4148289868517487
12,2017-06-12,2.3920906155733856,2.379288567374745,2.430142907114116,2.3920906155733856,2.3920906155733856,0.012864198641646625,0.012864198641646625,0.012864198641646625,2.056776200225859e-05,2.056776200225859e-05,2.056776200225859e-05,0.01284363087964437,0.01284363087964437,0.01284363087964437,0.0,0.0,0.0,2.4049548142150323
13,2017-06-24,2.3922217689197662,2.388709683359369,2.439632679417337,2.3922217689197662,2.3922217689197662,0.021349717870842815,0.021349717870842815,0.021349717870842815,-0.000893175087228272,-0.000893175087228272,-0.000893175087228272,0.022242892958071084,0.022242892958071084,0.022242892958071084,0.0,0.0,0.0,2.413571486790609
14,2017-07-06,2.3923529222661464,2.398027919549154,2.4495482006815235,2.3923529222661464,2.3923529222661464,0.031173267715234123,0.031173267715234123,0.031173267715234123,-0.007423417490233456,-0.007423417490233456,-0.007423417490233456,0.03859668520546758,0.03859668520546758,0.03859668520546758,0.0,0.0,0.0,2.4235261899813807
15,2017-07-18,2.3924840756125265,2.398081359692428,2.448007907778544,2.3924840756125265,2.3924840756125265,0.031788965546645835,0.031788965546645835,0.031788965546645835,0.001858214134176597,0.001858214134176597,0.001858214134176597,0.02993075141246923,0.02993075141246923,0.02993075141246923,0.0,0.0,0.0,2.4242730411591724
